national_number	description
604	A massive, black, eel-like creature with a formidable appearance. It has a long, serpentine body, a powerful, suction-cup mouth filled with sharp teeth, and large, fin-like arms with three yellow, claw-like digits.
605	A small, green, alien-like creature with a large, bulbous head and a small, slender body. It has large, oval, black-and-red eyes and three colored "buttons" on its chest.
606	A tall, slender, alien-like humanoid with a huge, elongated, green head. It has a thin, brown body, large, hypnotic, multi-colored eyes, and three brightly colored, finger-like digits on each hand.
607	A small, ghostly candle. It is a small, white blob of wax with a single, purple flame on its head. It has two large, yellow, dripping eyes and a small, smiling mouth.
608	A ghostly creature resembling a small, black lantern. A sinister, purple flame burns within its glass casing. It has two glowing, yellow eyes and a curved, hook-like appendage on top.
609	A large, ghostly chandelier. It has a central, spherical head with glowing, yellow eyes, and several curved, black arms that hold purple, flickering flames. It has a sinister and elegant appearance.
610	A small, bipedal, draconic creature with a reptilian, grayish-green body. Its most notable feature is the two large, tusk-like blades protruding from the sides of its mouth.
611	A more robust, bipedal, draconic creature with greenish-yellow, armor-like plates on its body. The tusks on the sides of its mouth have grown larger and sharper.
612	A massive, bipedal, draconic monster covered in tough, yellowish-green armor plating. It has a fierce expression and two enormous, axe-like blades on the sides of its mouth, which are sharp enough to cut steel.
613	A small, bipedal, polar-bear-cub-like creature. It is light blue with a darker blue snout, and has a single, large, glistening drop of frozen snot perpetually hanging from its nose.
614	A massive, bipedal, polar bear with a powerful, intimidating build. Its body is covered in thick, white fur, and it has long, sharp, icicle-like claws and a long, frozen beard of ice shards.
615	A geometric, snowflake-like creature made of pure ice. It is a large, floating, hexagonal ice crystal with a simple, carved face in the center. It has a chain of ice crystals floating below it.
616	A small, snail-like creature wearing a gray, round, knight's helmet. Its true body is a small, orange slug with a simple, dopey face.
617	A slim, agile, ninja-like slug. Its body is a sleek, blue-and-pink creature wearing a gray, ninja-like mask and a scarf made from its own shell's membrane.
618	A flat, brown-and-tan, fish-like creature that resembles a flounder or a stylized bear trap. It lies flat on the ground, and its face has a vacant, dopey expression with a yellow tail.
619	A small, bipedal, weasel-like creature with a serious, martial-artist-in-training expression. It has a white and gray body, long arms, and a focused gaze.
620	A tall, slender, stoat-like creature with a regal, martial-arts-master appearance. It has a purple body and uses its long, pink, fur-like feelers on its arms as powerful whips.
621	A rough, gargoyle-like dragon with a craggy, dark blue hide. Its head, wings, and skin are jagged and coarse, as if carved from rock. It has menacing red eyes and sharp claws.
622	A bipedal, clay golem resembling an ancient automaton. It has a dark, clay-like body with light-blue, glowing, spiral patterns on it. A crack on its chest is sealed with a golden, plug-like seal.
623	A massive, flying, clay golem. It has a cannon-like feature that allows its arms and legs to be retracted, turning its body into a rocket for flight. The glowing, spiral patterns are more prominent.
624	A small, bipedal, humanoid creature covered in sharp, metallic blades. Its body is mostly red and black, with a helmet-like head that has a yellow, axe-like blade on top.
625	A tall, slender, humanoid creature fully clad in sharp, metallic, blade-like armor. It has a helmeted head, a massive, sharp blade extending from its chest, and its hands are three-pronged, sharp claws.
626	A large, powerful, bovine creature resembling an American bison with an afro. It is covered in shaggy, dark brown fur and has a massive, perfectly round, black afro hairstyle on its head.
627	A small, bipedal, eaglet-like creature with a fluffy, white-feathered head. It has a brown body, large, yellow talons, and a single, long feather protruding from the back of its head.
628	A massive, bipedal, eagle-like bird with a warrior-like appearance. It has a large, powerful body, and its head is adorned with a large, three-plumed, Native-American-headdress-like crest of red and white feathers.
629	A small, bipedal, vulture-chick-like creature. It is a pink, featherless bird with a stubby body, a dark gray ruff of downy feathers, and a pink, skull-like bone worn on its lower half like a diaper.
630	A large, bipedal, female vulture with a devious, witch-like appearance. It has a pink head and neck, a black, shaggy body, and uses a large, heavy bone as a tool or weapon, often adorning its head with it.
631	A bipedal, anteater-like creature with a red-and-yellow, flame-patterned body. It has a long snout and a tail that acts as a flue, drawing in air to fuel the fire it breathes.
632	A bipedal, ant-like creature covered in a suit of hard, metallic, silver-colored armor. It has a sleek, robotic appearance, a powerful jaw, and a stern, determined expression.
633	A small, quadrupedal, draconic creature with a dark blue body and a black, shaggy mane of fur covering its head and neck, obscuring its eyes.
634	A two-headed, quadrupedal, draconic creature. It has a blue body and two independent, black, furry heads with snarling expressions. It has stubby, purple, wing-like growths on its back.
635	A massive, three-headed, draconic monster that floats on six small, wing-like appendages. It has a dark blue body, and its three main heads are black with shaggy fur, each with a vicious, menacing expression.
636	A small, larva-like insectoid with a white, fuzzy body. It has blue eyes and five prominent, orange, horn-like protrusions on its back from which it can shoot fire.
637	A colossal, moth-like, insectoid deity. It has a huge, black, fuzzy body and three pairs of massive, orange, sun-patterned wings that scatter burning embers when flapped.
638	A legendary, quadrupedal, stag-like creature with a turquoise body and gray-and-white accents. It has two large, sharp, forward-pointing horns on its head and a determined, noble expression.
639	A legendary, quadrupedal, bull-like creature with a powerful, stocky build. It has a white body, orange-and-black fur, and two large, sharp, curved horns. Its expression is rugged and unyielding.
640	A legendary, quadrupedal, equine-like creature with a green-and-white body. It has a large, green, leafy mane, and a single, long, sharp horn on its forehead. It has a mischievous and wild appearance.
641	A muscular, green, humanoid genie with a cloud for a lower body. In its Incarnate Forme, it has two horns, a spiky white mane, and a long, purple tail with club-like segments. Its Therian Forme is a massive, green, bird-like dragon.
642	A muscular, blue, humanoid genie with a cloud for a lower body. In its Incarnate Forme, it has a single, large, purple horn, a spiky white mane, and a long, purple tail with spherical segments. Its Therian Forme is a sleek, black, reptilian dragon.
643	A large, majestic, draconic legendary creature with a pure white, feathered body. It has powerful, fin-like wings, a sleek build, and its tail is a massive, generator-like engine that glows with blue light.
644	A large, powerful, draconic legendary creature with a sleek, black body. It has massive, tattered, bat-like wings, a powerful build, and its tail is a massive, generator-like turbine that glows with red light.
645	A muscular, orange, humanoid genie with a cloud for a lower body. In its Incarnate Forme, it has a brown, horned mask, a spiky white mane, and a long, brown, snake-like tail. Its Therian Forme is a large, quadrupedal, feline-like beast.
646	A massive, draconic, legendary creature with a broken, incomplete appearance. It is a gray, reptilian husk with parts of its body, including one wing and part of its face, seemingly frozen or missing, replaced by crystalline ice.
647	A quadrupedal, mythical creature resembling a colt or unicorn. It has a light blue body, a large, dark blue mane with three lighter blue plumes, and a single, prominent horn on its head. Its expression is resolute.
648	A graceful, humanoid, mythical creature with a musical theme. In its Aria Forme, it has long, flowing, green hair and wears a black-and-white dress. In its Pirouette Forme, it has bright, orange-red hair and a tutu-like skirt.
649	An ancient, bipedal, insectoid mythical creature modified by a cybernetic organization. It has a purple, metallic exoskeleton and a massive, powerful, high-tech cannon attached to its back.
650	A small, quadrupedal, mammalian creature with a green, shell-like, wooden carapace on its back. Its body is brown, and its head has a leafy green, hood-like cap with a red tuft.
651	A large, bipedal, mammalian creature encased in a huge, spiky, wood-and-leaf shell. It has a rotund, armadillo-like shape and can curl into a defensive, spiky ball.
652	A colossal, bipedal, mammalian warrior with a massive, shield-like, wooden shell on its back. It has a powerful, bulky build, and its arms are covered in spiky, green armor.
653	A small, quadrupedal, fox-like creature with yellow fur. It has two large, fluffy, red-orange tufts of fur protruding from its ears and a fluffy, orange-tipped tail.
654	A bipedal, fox-like creature with a more elegant, witch-like appearance. Its tail has grown larger and now holds a wooden stick, which it uses like a magic wand.
655	A tall, elegant, bipedal, fox-like mage. It has a long, flowing, robe-like coat of yellow and red fur, and wields a flaming branch as a magic wand. Its ears are filled with long, fiery fur.
656	A small, frog-like creature with light blue skin. It has large, yellow eyes and a large, white, cloud-like ruff of sticky bubbles around its neck, which it uses for protection.
657	A more slender and agile, bipedal frog. It has a sleek, dark blue body and a white, ninja-scarf-like wrap of bubbles around its neck. It has a sly, confident expression.
658	A tall, slender, bipedal, ninja-like frog. It has a dark blue body, a long, pink, scarf-like tongue wrapped around its neck, and a large, shuriken-like marking on its hip.
659	A small, bipedal, rabbit-like creature with a gray and brown body. Its most prominent features are its two massive, powerful, ear-like appendages that it uses like extra arms for digging and construction.
660	A large, bipedal, rabbit-like creature with a powerful, burly build. It has a brown-and-gray body, a thick midsection, and uses its huge, powerful, ear-like arms to lift and throw heavy objects.
661	A small, avian creature resembling a robin. It has a gray body, a red-orange head and chest, and a long, yellow-tipped tail.
662	A larger, falcon-like bird with a fiery appearance. Its underbelly is covered in red and yellow, ember-like spots, and it has a sharp, predatory gaze.
663	A massive, peregrine-falcon-like bird of prey. Its body is streamlined for incredible speed, and its plumage is a mix of fiery orange, red, and dark gray, with flame patterns on its wings.
664	A small, caterpillar-like larva with a fuzzy, gray body. It has three small, horn-like antennae on its head and a perpetually grumpy or determined expression.
665	A pupa that resembles a small, white, fuzzy ball hanging from a twig. It is completely covered in a hard, white shell, with only its eyes visible.
666	A beautiful, butterfly-like Pokémon with large, square-shaped wings. Its wing pattern varies dramatically based on its real-world geographic location, with many different colorful designs (e.g., Icy Snow, Tundra, Modern, etc.).
667	A small, quadrupedal, lion-cub-like creature. It has a brown body, a large, fluffy, black mane, and a small, red, flame-like tuft of fur on its head. It has a tough and feisty expression.
668	A massive, bipedal, lion-like creature. The male has a huge, fiery, red-and-yellow mane shaped like the symbol for "fire". The female has a long, flowing, ponytail-like mane of red and yellow hair.
669	A small, flower-like fairy that clings to the stem of a flower. Its true body is a tiny, white-and-green creature, but it is almost always seen with a Red, Yellow, Orange, Blue, or White Flower.
670	A slightly larger, fairy-like creature that is now fused with the stem of its flower. It has a green, stem-like lower body and holds its flower like a parasol.
671	An elegant, humanoid, plant-like creature. Its lower body is a large, bush-like "dress" of leaves, and it holds a massive, ornate, beautiful flower like a staff or scepter.
672	A small, quadrupedal, goat-like creature with a leafy, green "saddle" and "collar" of fur on its back and neck. It has small, brown horns and a gentle expression.
673	A large, powerful, quadrupedal goat with a majestic appearance. It has large, curved, brown horns, a shaggy, white coat of fur, and a saddle-like growth of green bushes on its back.
674	A small, bipedal, panda-cub-like creature with a tough-guy attitude. It has a dark gray and white body and is always seen chewing on a small, green leaf.
675	A massive, bipedal, panda-like warrior with a dark, intimidating presence. It has a powerful, bulky build and wears a long, tattered, dark gray, cape-like coat of fur.
676	A quadrupedal, poodle-like Pokémon whose fur can be styled into various cuts (e.g., Heart, Star, Diamond Trim). In its Natural Form, it has a black body covered in thick, puffy, white fur.
677	A small, bipedal, feline-like creature with a perpetually blank or grumpy expression. It has a psychic appearance, with a gray-and-white body, large, powerful eyes, and folded, ear-like organs.
678	A bipedal, feline creature with a distinct appearance based on gender. The male is dark blue and white, with a more aggressive, supportive look. The female is white and dark blue, with a more graceful, offensive look. Both have intense, psychic eyes.
679	A spectral creature that is the ghost of a person slain by a sword. Its physical form is an ancient, tarnished sword with a single, blue, ghostly eye on its hilt. A long, tattered, blue cloth is tied to the pommel.
680	A creature composed of two, spectral, sentient swords. They are crossed in an "X" shape and held together by a central, shield-like emblem with a single, pink, ghostly eye.
681	A royal sword and shield. In its Shield Forme, it is a large, ornate, golden shield with a spectral sword sheathed at its back. In its Blade Forme, the sword is unsheathed and held by shadowy, cloth-like arms.
682	A small, pink, avian-like, fairy creature with a fragrant, perfume-like scent. It has a fluffy, white body, a purple, beak-like mask, and large, red eyes.
683	A bipedal, fairy-like creature with a can-can dancer or plague doctor appearance. It has a fluffy, pink body, long, black legs, and a dark, pointed, beak-like mask.
684	A small, bipedal, fairy creature that resembles a sentient dollop of whipped cream. It has a white, puffy body, small, red, cherry-like tufts, and a happy expression.
685	A bipedal, humanoid, fairy creature that resembles a dessert or a cake-like meringue. It has a large, white, "dress-like" body, a pink, ruffled collar, and is often adorned with strawberry-like decorations.
686	An aquatic, squid-like creature that floats upside-down. It has a dark, rounded head with a row of pink, light-emitting organs, and several tentacles dangling upwards.
687	A large, menacing, upside-down squid. It has a sharp, beak-like mouth, hypnotic, glowing patterns on its body, and powerful, fin-like appendages on its head that it uses for propulsion.
688	A creature composed of two, small, rock-like beings joined together at the side. Each half is a brown, barnacle-like creature with an orange-and-gray, hand-like head with a single eye.
689	A massive, golem-like creature formed from a large colony of barnacles. Its body is a huge, humanoid shape made of two large, gray boulders for legs and a larger boulder for a torso, with multiple, smaller, hand-like heads.
690	A small, aquatic creature that resembles a seadragon camouflaged as a piece of rotting, brown kelp. It has a simple, vertical body and a vacant expression.
691	A large, draconic, leafy-sea-dragon-like creature. Its body is a mix of purple and brown, with large, tattered, kelp-like fins that make it look like a piece of poisonous, floating seaweed.
692	A small, crustacean-like creature with an asymmetrical design. Its right claw is a massive, cannon-like appendage that is larger than the rest of its blue-and-yellow body.
693	A massive, bipedal, shrimp-like crustacean. Its most prominent feature is an enormous, rocket-launcher-like claw that covers almost half of its body and can fire powerful blasts of water.
694	A small, bipedal, lizard-like creature resembling a frilled lizard. It has a tan body and a large, black, collapsible frill around its neck that can open up to reveal a bright yellow, sun-like pattern.
695	A tall, bipedal, lizard-like creature with a sleek, tan-and-black body. It has two large, expandable, solar-panel-like frills on the sides of its neck, which it opens to absorb sunlight.
696	A small, bipedal, dinosaur-like creature resurrected from a fossil. It resembles a miniature Tyrannosaurus rex, with a brown body, a huge head and jaw, and a white, fluffy collar of feathers.
697	A massive, fearsome, Tyrannosaurus rex with a powerful, reddish-brown, scaly body. It has an immense, powerful jaw, and a shaggy, white, beard-like mane of feathers around its neck.
698	A small, sauropod-like, prehistoric creature resurrected from a fossil. It has a light blue body, two large, sail-like, aurora-patterned fins on its head, and large, gentle, blue eyes.
699	A massive, majestic, sauropod-like creature with a graceful, blue body. It has a long neck and a huge, wavy, aurora-like membrane that flows from its head down its back.
700	A quadrupedal, mammalian, fairy-like creature with a graceful, feline appearance. It has a pale cream body and uses several, long, ribbon-like feelers to sense the emotions of others.
701	A small, bipedal, bird-like, humanoid creature with a luchador or professional wrestler theme. It has a red-and-green, winged body, a mask-like head pattern, and a confident, showy posture.
702	A small, chubby, rodent-like creature with round, brown ears and a distinctive, antenna-like tuft of fur on its head. It has two pink cheek pouches for storing electricity and a long, lightning-bolt-shaped tail.
703	A small, floating, fairy-like creature with a body made of a gray, crystalline rock. A large, fluffy, cloud-like ruff of white fur surrounds its head, and it has bright, cyan-blue eyes. A large, pink, diamond-like crystal is embedded in its head.
704	A small, slug-like creature. Its body is a simple, light purple, amorphous blob with two small, stalk-like antennae and beady black eyes. It's considered one of the weakest Dragon-type Pokémon.
705	A larger, snail-like creature. Its body is a purple, gooey slug, and its "shell" is a large, translucent, dripping blob of viscous slime. Its eyes are now green and sit on top of its head.
706	A massive, bipedal, dragon-like creature with a thick, gooey, purple-and-lavender body. It has a very friendly, almost derpy expression. It has two long, retractable, horn-like antennae and a large, powerful tail.
707	A small, floating creature that resembles a single, sentient, metal key with a pink, poofy, cotton-candy-like top. It has a simple, key-like body and a small, white face.
708	A small, ghostly creature that is a spirit possessing a rotting, brown tree stump. Its true body is a small, black, shadowy creature with a single, red eye, visible through a knothole in the stump.
709	A tall, slender, haunted-tree-like creature. Its body is a silvery-white birch tree with gnarled, root-like legs and long, shadowy arms. A single, glowing, red, cyclopean eye stares from a hole in its trunk.
710	A ghostly creature that is a spirit inhabiting a small, orange pumpkin. Its size can vary greatly. Its upper body is a shadowy, bat-like creature with glowing, yellow eyes and two hair-like arms.
711	A massive, ghostly pumpkin. Its lower body is a huge, carved, jack-o'-lantern. Its upper body is a dark, shadowy creature with long, flowing, hair-like arms and a single, coiled tuft of "hair" on its head.
712	A small, quadrupedal creature whose upper body is a sharp, transparent, jagged chunk of ice. Its true body is a small, gray, stone-like head with yellow eyes, visible underneath the ice shell.
713	A colossal, quadrupedal, creature whose body is a massive, floating, icy aircraft carrier or iceberg. Its back is a flat, cracked, icy plateau, and its lower body is a mass of huge, crystalline icicles.
714	A small, bat-like creature with a dark gray, spherical, fuzzy body. It has massive, round, speaker-like ears that are larger than its entire body, which it uses to emit powerful sound waves.
715	A massive, draconic, wyvern-like bat. It has a huge, bulky body, an enormous, gaping mouth, and two massive, speaker-like ears that can generate destructive sonic booms. It has a V-shaped, fluffy ruff on its chest.
716	A majestic, legendary stag with a powerful, noble presence. In its Neutral Mode, it has black-and-blue fur and massive, multi-colored antlers. In Active Mode, its antlers and body markings glow with bright, rainbow-like light.
717	A colossal, legendary, wyvern-like creature shaped like the letter "Y". It has a red-and-black body, massive, clawed wings, and a powerful, destructive aura. Its eyes and body markings glow when it attacks.
718	A massive, serpentine, legendary creature with a long, green-and-black, hexagonal-patterned body. In its 50% Forme, it has a cobra-like head with a frill. In its Complete Forme, it becomes a giant, humanoid mecha with massive, wing-like appendages.
719	A mythical, fairy-like creature with a gray, rock-like body and a fluffy, white collar. Its head is adorned with a large, beautiful, pink, multi-faceted crystal, and it has a serene, magical presence.
720	A small, mythical, pixie-like genie that floats in the air. It has a mischievous grin, two small horns, and is often seen with several large, golden rings floating around its body. In its Unbound form, it becomes a massive, six-armed, demonic genie.
721	A mythical, quadrupedal, automaton-like creature made of gears and steam. It has a large, red, ball-like body, two large, circular, black-and-gold arms, and a powerful, internal steam engine that can create explosive vapor.
722	A small, avian creature resembling an owl. It is spherical and brown with a white, leaf-patterned face. Two large, green leaves are tied together at its chest, resembling a bow tie.
723	A larger, more adolescent-looking owl with a proud, almost snobbish demeanor. It has brown and white plumage, and its "hair" is a long, green leaf that it meticulously preens and can throw like a blade.
724	A tall, humanoid, archer-owl. It has a green, leaf-hooded cape, a powerful, athletic build, and uses a vine from its hood as a bowstring to fire sharp, arrow-like feathers from its wings.
725	A small, quadrupedal, feline creature with black fur and red stripes. It has a relaxed and aloof personality, with large, yellow eyes and a small tuft of fur on its head.
726	A bipedal, feline creature with a more muscular build. A fiery, bell-like organ has formed at the base of its neck, which jingles with heat as it moves.
727	A massive, bipedal, feline wrestler with a powerful, muscular build. It has a dark, intimidating look and a belt of fire around its waist, which it uses to power its fighting moves.
728	A small, seal-like, aquatic creature with a light blue body. It has a large, pink, clown-like nose that it uses to create and balance water bubbles. It has a frilly, light blue collar around its neck.
729	A larger, more elegant, feminine, seal-like creature. It has a long, flowing, white body, a graceful posture, and long, blue, pigtail-like ears. It has a developed sense of showmanship.
730	A majestic, mermaid-like creature with a long, flowing, fish-like tail. It has a beautiful, operatic appearance, with long, white, hair-like appendages adorned with pearls. It controls water with its voice.
731	A small, woodpecker-like, avian creature with black and white plumage and a prominent, red, mohawk-like crest. It has a sharp, powerful beak that it uses to peck at high speeds.
732	A larger, woodpecker-like bird with a sleek, black-and-white body. It has a more developed, swept-back, red crest and a look of intense focus in its eyes.
733	A massive, toucan-like bird with a formidable appearance. Its most striking feature is its enormous, rectangular beak, which can be heated to extreme temperatures, glowing red and orange before firing seeds.
734	A small, quadrupedal, mongoose-like creature with brown fur. It has a distinctive, yellow tuft of fur on its head that sweeps to one side, and a perpetually determined, scowling expression.
735	A large, bipedal, mongoose-like creature with a stout, powerful build. It stands on its hind legs with its arms crossed, giving it a detective-like or boss-like appearance. It has a thick coat of brown and cream fur.
736	A small, grub-like, insectoid larva with a blocky, geometric body. It has a large, yellow, pincer-like jaw and is often found near power plants.
737	A pupa-like creature that resembles a floating, metallic, rectangular battery or a bullet train. It has a sleek, geometric, white-and-orange body with a single, blue, glowing eye slit.
738	A large, insectoid creature that resembles a futuristic railgun or a stag beetle. It has a powerful, angular body, with two massive, pincer-like appendages that it charges with electricity before firing energy beams.
739	A small, crustacean-like creature resembling a yeti crab. It has a purple body and uses two large, blue-and-red, boxing-glove-like pincers to fight. It has a determined, scrappy look.
740	A large, powerful, yeti-crab-like creature with a massive, asymmetrical build. One of its claws is an enormous, blue, shield-like pincer, while the other is a smaller, purple, punching claw. It has a shaggy, white, fur-like covering.
741	An avian creature whose appearance changes based on the nectar it sips. Baile Style is a red, fiery flamenco dancer. Pom-Pom Style is a yellow, electric cheerleader. Pa'u Style is a pink, psychic hula dancer. Sensu Style is a purple, ghostly Japanese fan dancer.
742	A very tiny, fairy-like, gnat-like insectoid. It has a large, round head, a small, black body, and two large, transparent wings. It is covered in a fine, yellow pollen.
743	A slender, bipedal, fairy-like insectoid with a graceful, bee-like appearance. It has a fuzzy, yellow-and-black-striped body, large, green, compound eyes, and its legs are covered in large, fluffy balls of pollen.
744	A small, quadrupedal, canine-like creature with light brown fur. It has bright, blue eyes, a fluffy, curved tail, and a collar of jagged, gray rocks around its neck.
745	A large, quadrupedal wolf. Midday Form is a sleek, brown wolf with a noble appearance and blue eyes. Midnight Form is a menacing, bipedal, dark red werewolf with glowing red eyes. Dusk Form is a quadrupedal, orange wolf with green eyes.
746	A tiny, lone fish with a sad expression. It is a small, gray-and-blue fish with large, teardrop-marked eyes, giving it a perpetually crying look.
747	A small, eel-like, aquatic creature that resembles a sea cucumber. Its body is dark with purple, glowing spines. Its most notable feature is its ability to expel its internal organs, which look like a white, fist-like appendage, from its mouth.
748	A large, monstrous, coral-like creature. It has a dome-shaped, rocky base and twelve long, poisonous, tentacle-like "limbs" that it can retract. Its face is a purple, glowing structure inside the dome.
749	A small, quadrupedal, donkey-like creature with brown fur. It has large, floppy ears and its body is often covered in a layer of mud.
750	A massive, bipedal, horse-like creature with a powerful, draft-horse build. Its body is brown, and its lower legs are covered in thick, dark, clumpy mud. It has a black-and-blonde, braided mane and tail.
751	A small, aquatic, insect-like creature that wears a bubble of water around its head like a diving helmet. It has a small, green-and-brown body with six legs and large, expressive eyes.
752	A large, spider-like, aquatic insectoid. It has a sleek, green-and-brown body and maintains a large, bubble-like dome of water around its head and torso, which it uses to deliver powerful, headbutt-like attacks.
753	A small, bipedal, insectoid creature that mimics a flower. It is primarily pink and white, with a green, leaf-like collar and large, sickle-shaped, pink arms.
754	A tall, elegant, bipedal insectoid resembling an orchid mantis. It has a beautiful, pink-and-white body, with long, slender, green-and-white striped legs. Its arms are large, sharp, pink, scythe-like petals.
755	A small, mushroom-like creature with a pink, bioluminescent cap. It has a thin, white, stem-like body and large, sleepy eyes. It often gathers in groups and glows in the dark.
756	A tall, slender, mushroom-like creature with a large, pink cap. It has a lanky, pale body and long, thin, root-like arms and fingers. It emits a hypnotic, glowing light and spores.
757	A small, bipedal, lizard-like creature with a dark gray body and a purple, belly-and-tail underside. It has a bandit-like mask marking around its large, sleepy eyes.
758	A large, bipedal, lizard-like creature with a slender, purple-and-black body. It has a confident and cruel demeanor, with a long, powerful tail and the ability to release toxic, corrosive gas.
759	A small, bipedal, bear-cub-like creature with a pink-and-black body. It has a very cute, cuddly appearance and often flails its arms in a panic, despite possessing great strength.
760	A massive, bipedal, bear-like creature with a powerful, intimidating build. It has a pink-and-black body, with long, shaggy, white fur on its head and back. It has a fierce expression and incredibly strong arms.
761	A small, plant-like creature resembling a mangosteen fruit. It has a round, purple body with a thick, green calyx on its head. It has a sweet and innocent appearance.
762	A bipedal, plant-like creature with a more developed, humanoid shape. It has a green, top-like body, a large, leafy calyx on its head, and a confident, almost tomboyish look.
763	A tall, elegant, humanoid, plant-like creature with a regal, queenly presence. It has long, powerful, green legs, a purple, fruit-like torso, and a large, crown-like calyx on its head.
764	A floating, fairy-like creature that resembles a living lei or flower garland. It is a circular chain of green leaves and colorful flowers (pink, red, yellow, and purple) with a small, green, pixie-like face at the top.
765	A small, bipedal, ape-like creature with white fur. It has large, green, leaf-like "hair" and is often seen holding a large, fan-like leaf that it uses as a command baton.
766	A bipedal, lemur-like creature with a team-player attitude. It has a white-and-black body and a green, helmet-like growth of fur on its head. It often carries a green, hard berry that it throws.
767	A small, isopod-like creature with a cowardly nature. It has a purple-and-gray, segmented, armored body, and it often runs away from battles.
768	A massive, bipedal, samurai-like, giant isopod. It has a formidable, silver-and-purple, armored exoskeleton, a hunched posture, and two massive, sharp, scythe-like claws.
769	A sentient sandcastle. It is a small pile of sand with a single, small, red shovel sticking out of the top. Its "mouth" and "eyes" are hollowed-out archways in the sand.
770	A massive, well-formed sandcastle. It has a large, central keep, two smaller towers for arms, and a large, tunnel-like mouth. A red shovel is embedded in its main tower like a flag.
771	A sea-urchin-like creature with a black, spiky body. Its true face is a small, green, glowing set of eyes that appears in a small opening among its spines when it attacks.
772	A bizarre, chimeric, creature created from different animal parts. It has a canine-like head with a massive, heavy, metallic helmet, bird-like hind legs, and a fish-like tail.
773	A majestic, chimeric creature with a griffin-like appearance. It has the head and forelimbs of an eagle and the body and hind limbs of a lion. Its helmet has been shed, revealing a sharp, crested head. It has large, feathered wings.
774	A celestial, rock-like creature with two forms. In its Meteor Form, it is a heavy, spherical, brown meteor with a rocky shell. In its Core Form, its shell breaks away to reveal a small, brightly colored, floating creature (colors vary).
775	A koala-like creature that is always asleep. It has gray fur, large, fluffy, orange ears, and a large, black, oval nose. It clings to a large, brown log that it uses as a pillow.
776	A large, quadrupedal, tortoise-like dragon. Its most prominent feature is a massive, spiky, gray shell on its back that resembles a naval mine. It has a long neck and a powerful, jagged jaw.
777	A small, bipedal, fairy-like creature with a huge, oversized, disheveled head of blonde and pink hair. It has a tiny, black body, and a perpetually surprised or dazed expression.
778	A small, ghostly creature disguised as a Pikachu. It wears a crudely made, hand-drawn Pikachu costume with a bent ear and a stick for a tail. Its true, shadowy eyes are visible through two holes in the costume.
779	A large, piranha-like fish with an extremely colorful, almost garish, body pattern of pink, blue, purple, and yellow. It has a prominent, sharp, horn-like protuberance on its head that glows with psychic power.
780	A gentle, serpentine, dragon-like creature with a long, white, furry body. It has a large, green, fin-like head crest, and a calm, elderly appearance with a long, green, barbel-like mustache.
781	A ghostly creature that is a sentient, rusty anchor entwined with haunted, green seaweed. The anchor itself acts as a massive, powerful club, while the seaweed forms a ghostly face and arms.
782	A small, bipedal, reptilian creature covered in large, metallic, overlapping scales. It has a single, large, heart-shaped, yellow scale on its forehead.
783	A larger, bipedal, draconic creature with a more developed, warrior-like stance. It is covered in gray and pink, metallic scales and has a large, crest-like array of scales on its head.
784	A massive, bipedal, draconic warrior covered from head to tail in powerful, metallic, golden scales. It has a majestic and formidable presence, and its tail ends in a large, rattle-like cluster of scales.
785	A legendary, avian-like, fairy creature with a rooster-like appearance. Its lower body is a purple, bell-like shell, and its upper body is a black, pixie-like creature with a large, red, mohawk-like crest and a colorful, mask-like face.
786	A legendary, humanoid, lion-like creature with a powerful, masculine appearance. It has a white, muscular body, a face that resembles a sun, and a full, flowing, orange-and-yellow mane.
787	A legendary, skeletal, bat-like creature with a graceful, feminine appearance. It has a purple, ethereal body, massive, crescent-moon-shaped wings, and a skeletal, mask-like face.
788	A legendary, pixie-like, fairy creature with a gaseous, nebula-like body. It has a starry, cosmic pattern within its purple and blue form, and a simple, curious, child-like face.
789	A legendary creature that resembles a floating, golden, celestial cocoon or sarcophagus. It is incredibly dense and immobile, with a starry, cosmic pattern on its golden shell.
790	A colossal, legendary, lion-like creature made of a white, metallic substance. It has a powerful, majestic build, and its face is a dark, cosmic nebula that glows with the light of a sun. It is a creature of immense light and energy.
791	A colossal, legendary, bat-like creature with a massive, crescent-shaped, wing structure. Its body is a deep indigo, and its wings resemble a starry, night sky. It is a creature of immense darkness and energy.
792	A prismatic, crystalline, legendary creature with a black, geometric body. Its arms and head are made of a substance that refracts light, creating rainbow-like glimmers. Its appearance is asymmetrical and alien.
793	An alien, jellyfish-like creature. Its body is a translucent, bell-shaped, gelatinous mass with long, glass-like tentacles. It has a shimmering, iridescent surface and a vaguely humanoid shape.
794	An alien, mosquito-like creature with an incredibly muscular, humanoid build. Its body is a bulging, white, muscle-bound form, with small, red, wing-like appendages and a long, sharp proboscis.
795	An alien, cockroach-like creature with a stunningly beautiful and slender, white, feminine form. It has long, thin legs, two massive, flowing, white antennae, and moves with incredible speed.
796	An alien creature that resembles a bundle of living, black, electrical cables. The cables have exposed, sparking ends and are writhing together to form a vaguely humanoid or tree-like shape.
797	A colossal, alien creature that resembles a living, metallic, bamboo-like rocket ship. It has a massive, cone-shaped body, two huge, booster-like arms, and a small, face-like structure on its main body.
